bbcc,1,0
bafd,3,2
fdcf,3,2
eiag,4,3
iiig,6,5
aadh,7,6
cife,7,6
fjjf,7,6
abdg,8,7
cajg,8,7
hebc,9,8
ifdf,9,8
fjgh,10,9
gfbf,11,10
hbhg,12,11
ajbj,13,12
eedj,14,13
jjif,14,13
hdff,15,14
agah,16,15
cjhg,16,15
aiig,17,16
eajf,19,18
feac,20,19
ahjh,21,20
cdfg,21,20
bbjc,23,22
cdjj,23,22
gcbi,23,22
bchh,25,24
ejdb,27,26
ggcd,27,26
bajg,28,27
bibj,28,27
hfee,28,27
dfhh,29,28
jgca,30,29
fahh,33,32
ejaj,34,33
cbca,36,35
aicc,37,36
bcbe,37,36
dfeh,37,36
djbi,37,36
cadd,38,37
hjch,39,38
igeb,39,38
ajec,40,39
cgbf,40,39
ieab,40,39
aiab,42,41
hagi,44,43
bfcc,45,44
gghb,45,44
bbed,46,45
ggjj,49,48
jbhg,50,49
bijd,52,51
ifji,53,52
egec,54,53
afjj,55,54
dddc,55,54
gjea,55,54
iabd,55,54
dghe,56,55
dhfi,56,55
ebja,56,55
hbee,56,55
agab,57,56
cbbe,58,57
jbeh,58,57
bdjj,59,58
ecjd,63,62
jjig,66,65
hcbe,68,67
dfie,69,68
ghib,69,68
hegi,72,71
ahcj,73,72
dbci,73,72
jiaf,73,72
ddgg,76,75
ffdi,76,75
eeag,77,76
cbbd,79,78
deje,80,79
ahdc,81,80
bigb,82,81
cadb,82,81
efgi,85,84
cidd,86,85
eifb,86,85
bgji,87,86
gbhj,87,86
fafg,89,88
giee,90,89
ghac,93,92
dbde,94,93
fbhb,94,93
fchg,94,93
efja,95,94
egih,96,95
iigc,96,95
jbcj,97,96
hchh,98,97
gbha,99,98
jiij,100,99
ched,2,101
gidb,2,101
iccc,2,101
aidc,3,102
fhjj,4,103
hijc,4,103
ehaj,5,104
hcdi,7,106
hhdi,7,106
daja,9,108
idbe,9,108
aabg,10,109
efaj,10,109
iibb,10,109
bgcf,11,110
ajdh,12,111
djjc,12,111
jdic,12,111
eeic,13,112
ejje,14,113
ghee,14,113
cidc,18,117
cdbh,19,118
bafe,20,119
jhgg,21,120
dhde,26,125
iddf,26,125
eade,28,127
fiif,29,128
ijac,29,128
hgcf,30,129
bgjb,33,132
idif,33,132
ejcc,36,135
edah,37,136
jhce,37,136
jhga,37,136
fbbd,38,137
hjce,38,137
adfa,40,139
bfca,42,141
icjc,42,141
ibgd,43,142
cehe,44,143
hdch,44,143
jehc,46,145
cjdj,47,146
fjed,47,146
ieeb,49,148
eaef,50,149
daba,52,151
gebi,53,152
ghdg,54,153
iibg,54,153
jfig,54,153
ejdc,55,154
chgb,57,156
gbci,57,156
adfd,60,159
jdaa,60,159
aech,61,160
agfi,64,163
acij,65,164
cjjg,65,164
aagg,67,166
dbad,73,172
bihd,74,173
addd,75,174
gabh,75,174
ciif,76,175
hecj,76,175
aabd,77,176
ibde,78,177
dcjb,79,178
cjgi,80,179
jbib,81,180
gcdg,82,181
ibfd,83,182
ceja,84,183
jjjj,85,184
dhfg,86,185
debe,88,187
abgg,89,188
hehb,89,188
jebh,90,189
abjf,91,190
iijb,92,191
fdcb,93,192
fgff,94,193
hbjg,95,194
gcgi,96,195
gjjc,96,195
jaih,96,195
gfaj,97,196
gdgf,99,198
jhaj,4,203
dhdd,5,204
fjje,6,205
iehd,7,206
iiea,7,206
fccd,8,207
jddb,8,207
fhfe,10,209
hiac,13,212
eahe,19,218
iajj,19,218
ebaf,20,219
efgg,22,221
bhic,28,227
efga,28,227
fafd,29,228
ceig,30,229
cbfd,34,233
efad,35,234
ahbf,38,237
iiag,38,237
dcia,43,242
hfia,46,245
gjbf,47,246
bcac,49,248
bfcb,50,249
hgia,52,251
bfgc,55,254
ficb,55,254
gjcd,57,256
bejj,58,257
hjfe,59,258
caib,60,259
bjdf,61,260
eejc,61,260
eeig,63,262
aahh,64,263
dacg,64,263
dfbj,65,264
ghgi,65,264
ijhf,65,264
jbcc,65,264
hjfb,66,265
fdch,67,266
ecff,68,267
chfb,70,269
dfei,72,271
eijb,72,271
bedd,73,272
bahg,75,274
dchg,75,274
abfg,76,275
aebg,76,275
gaja,76,275
fggb,77,276
fjej,78,277
bbgg,80,279
dhai,80,279
ghdh,80,279
giic,83,282
hjfc,87,286
hfgd,89,288
begb,92,291
ibeb,92,291
cdcg,93,292
bghd,95,294
ddfg,95,294
iaig,95,294
eicg,96,295
agai,97,296
beee,99,298
cgja,99,298
dibh,100,299
dffa,1,300
cajj,2,301
jdbj,2,301
jfda,2,301
acae,5,304
bbfc,5,304
aabh,6,305
ebdi,6,305
jdfc,7,306
dgbe,10,309
jgah,10,309
cahi,11,310
idhe,12,311
degb,14,313
hehe,15,314
bdde,16,315
jaae,16,315
gfid,17,316
iihc,19,318
bgjd,20,319
ifjd,20,319
fich,21,320
hhac,21,320
biee,22,321
facg,22,321
dahc,25,324
dcic,25,324
high,26,325
hfgh,27,326
cjbe,28,327
fici,28,327
cjjh,29,328
djdh,29,328
fcaa,29,328
fdbb,29,328
bjjh,31,330
efhi,31,330
fihj,33,332
gbjg,33,332
cead,34,333
cfjj,34,333
hcce,34,333
caeb,35,334
gdfh,35,334
hdgj,36,335
idhj,36,335
ahca,37,336
dija,38,337
ifdb,38,337
iegb,40,339
fhbi,41,340
gidd,42,341
gjji,42,341
jfhe,42,341
begh,44,343
caee,44,343
feda,45,344
ffdj,45,344
deed,46,345
biaa,48,347
hiaa,51,350
jgdd,51,350
bija,52,351
dadj,54,353
dgaa,54,353
edda,54,353
hhag,54,353
chfh,55,354
fhdi,56,355
djca,57,356
fibg,57,356
gfib,58,357
ejfc,59,358
haff,60,359
fedd,64,363
gfai,64,363
aage,66,365
gjdg,66,365
ebdj,67,366
gicg,67,366
echg,69,368
abjc,70,369
fagh,70,369
bhcb,73,372
ddfi,74,373
hjei,75,374
ifbc,75,374
jefj,75,374
gcid,77,376
jcdd,77,376
babe,81,380
bcde,84,383
hdii,87,386
ceea,88,387
ibfh,88,387
